storenumber,storename,address,city,zipcode,county
3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,Kossuth
2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,Kossuth
5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,Kossuth
4268,Fareway Stores #531 / Algona,1905 Highway 18 E,Algona              ,50511,Kossuth
3682,Jumbo's,110 E Main St,Wesley              ,50483,Kossuth
9041,S&B Farms Distillery,212 E Ramsey St.,Bancroft            ,50517,Kossuth
6034,Three Doors Down Liquor,417 Broad St.,Whittemore          ,50598,Kossuth
5928,Casey's General Store #1762 / Algona,602 E State Street,Algona              ,50511,Kossuth
3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,Kossuth
5677,Yesway Store #1198 / Swea City,101 4th Ave W,Swea City           ,50590,Kossuth
5469,Chrome Truck Stop,211 Highway 18 E.,Algona              ,50511,Kossuth
5978,Casey's General Store #2460 / Algona,1414 N. Main St,Algona              ,50511,Kossuth
5310,Crossroads of Algona,107 Hwy 18 W,Algona              ,50511,Kossuth
